Date,Time,Open,High,Low,Close
2020-04-09,16:00:00,1.73266,1.73374,1.72064,1.7237
2020-04-09,20:00:00,1.72369,1.7261,1.72232,1.72349
2020-04-10,00:00:00,1.72355,1.72909,1.72198,1.72511
2020-04-10,04:00:00,1.72514,1.72514,1.71663,1.71734
2020-04-10,08:00:00,1.71737,1.72605,1.71713,1.72187
2020-04-10,12:00:00,1.72195,1.72535,1.7205,1.72451
2020-04-10,16:00:00,1.7244,1.72468,1.71991,1.72035
2020-04-10,20:00:00,1.72018,1.72113,1.71963,1.72091
2020-04-12,20:00:00,1.72235,1.72749,1.719,1.72545
2020-04-13,00:00:00,1.72545,1.7271,1.72327,1.72539
2020-04-13,04:00:00,1.72539,1.72652,1.72184,1.72465
